ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
669,Nogay (Caucasus),Russian Federation,RUS,nog,Definitely endangered,,,90020.0,43.8028,46.2744
700,Heiban,Sudan,SDN,hbn,Vulnerable,,,90000.0,10.8575,30.2371
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qxr,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qug,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qvi,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qvj,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qvo,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qvz,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
1930,Quichua (Cañar and Azuay),Ecuador,ECU,qxl,Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378
932,Mezquital Otomí,Mexico,MEX,ote,Definitely endangered,"hñähñú, ñänhü, ñandú, ñohño, ñanhmu",,88789.0,20.4831,-99.217
940,Eastern Mazahua,Mexico,MEX,,Definitely endangered,jnatrjo,,88001.0,19.7129,-99.9515
1599,Burushaski,Pakistan,PAK,bsk,Vulnerable,"Brushaski, Burushaki, Burucaki, Burushki, Burucaski, Biltum, Khajuna, Kunjut",,87000.0,35.909,74.2153
928,Central Otomí,Mexico,MEX,,Definitely endangered,"State of Mexico Otomí, hñähñú, ñöthó, ñható, hñothó, ñohño",,84593.0,19.4661,-99.5944
1141,Chokri,India,IND,nri,Vulnerable,,,84000.0,25.8691,94.7131
1133,Sangtam,India,IND,nsa,Vulnerable,,,84000.0,26.6032,94.9603
1791,Ixil (Guatemala),Guatemala,GTM,,Vulnerable,,,83574.0,15.4849,-91.0358
1777,Achi',Guatemala,GTM,acr,Vulnerable,,,82640.0,15.0845,-90.4888
1686,Yem,Ethiopia,ETH,jnj,Vulnerable,"Yemsa, ""Janjero""",,81613.0,7.6347,37.3205
1144,Mao,India,IND,nbi,Vulnerable,,,81000.0,25.5027,94.2681
1347,Arbëresh,Italy,ITA,aae,Definitely endangered,Arbëreshë Albanian,arbrisht,80000.0,40.9321,14.8645
1765,Lari,Iran (Islamic Republic of),IRN,lrl,Definitely endangered,"Larestani, Achomi",,80000.0,27.8585,54.8547
1765,Lari,Iran (Islamic Republic of),IRN,fay,Definitely endangered,"Larestani, Achomi",,80000.0,27.8585,54.8547
641,Páez,Colombia,COL,pbb,Definitely endangered,Nasa (people). Nasa Yuwe (language).,,80000.0,2.8237,-76.3117
2303,Quechua of Santiago del Estero,Argentina,ARG,qus,Definitely endangered,Quichua. Cuzco.,,80000.0,-26.7848,-63.6767
1058,Svan,Georgia,GEO,sva,Definitely endangered,,,80000.0,43.0207,42.3193
2236,Tai Daeng,Lao People's Democratic Republic,LAO,tyr,Vulnerable,Red Thai,,80000.0,19.8833,104.6166
2236,Tai Daeng,Lao People's Democratic Republic,VNM,tyr,Vulnerable,Red Thai,,80000.0,19.8833,104.6166
2236,Tai Daeng,Viet Nam,LAO,tyr,Vulnerable,Red Thai,,80000.0,19.8833,104.6166
2236,Tai Daeng,Viet Nam,VNM,tyr,Vulnerable,Red Thai,,80000.0,19.8833,104.6166
2163,Taznatit,Algeria,DZA,grr,Severely endangered,"Tamazight du Gourara, Tamazight du Touat",,80000.0,29.3413,0.3955
2179,Razihi,Yemen,YEM,,Definitely endangered,"Samrit Razih, Razihit, رازحي",,75000.0,16.8834,43.2655
1379,Wakhi,China,CHN,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,China,PAK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,China,TJK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,China,AFG,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Pakistan,CHN,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Pakistan,PAK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Pakistan,TJK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Pakistan,AFG,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Tajikistan,CHN,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Tajikistan,PAK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Tajikistan,TJK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Tajikistan,AFG,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Afghanistan,CHN,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Afghanistan,PAK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Afghanistan,TJK,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
1379,Wakhi,Afghanistan,AFG,wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047
